VisitorID,Visits,PageViews,Hits,TotalHits,HitNumber,a_diffdays_latest,a_diffdays_oldest,Device,Sistema,Morning Visits,DaytimeVisits,Evening Visits,Midnight Visits,Goal1,Goal2,Goal3,Conversion
64,1,1,2,5,1,31,31,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
65,1,1,2,1,1,31,31,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
66,1,1,2,1,1,31,31,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
67,1,1,2,1,1,38,38,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
68,1,1,2,1,1,38,38,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
69,1,1,2,1,1,38,38,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
70,1,1,2,5,1,38,38,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
71,1,1,2,3,1,38,38,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
72,1,1,2,1,1,38,38,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
73,1,1,2,2,1,38,38,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
74,1,1,2,1,1,38,38,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
75,1,2,4,325,3,38,38,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
76,1,1,2,1,1,38,38,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
77,2,1,4,1,3,38,38,DESKTOP,WINDOWS,0,0,2,0,0,0,0,FALSE
78,2,2,4,2,2,38,38,DESKTOP,WINDOWS,0,2,0,0,0,0,0,FALSE
79,1,1,2,1,1,45,45,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
80,1,1,2,1,1,45,45,DESKTOP,MAC-OS,0,0,1,0,0,0,0,FALSE
81,1,1,2,3,1,45,45,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
82,1,1,1,1,1,45,45,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
83,3,5,11,27,7,45,45,DESKTOP,WINDOWS,2,1,0,0,0,0,0,FALSE
84,1,1,2,1,2,45,45,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
85,1,1,2,4,1,45,45,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
86,2,4,8,115,4,1,15,DESKTOP,WINDOWS,0,0,2,0,0,1,1,TRUE
87,1,1,2,1,1,15,15,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
88,2,4,8,32,4,15,15,DESKTOP,WINDOWS,2,0,0,0,0,0,0,FALSE
89,1,1,2,1,1,15,15,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
90,2,4,6,421,2,15,15,DESKTOP,WINDOWS,0,2,0,0,0,0,0,FALSE
91,1,2,4,22,3,15,15,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
92,1,1,1,1,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
93,1,1,2,2,1,15,15,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
94,6,23,46,1253,28,15,15,DESKTOP,WINDOWS,0,6,0,0,0,0,0,FALSE
95,1,1,2,6,1,15,15,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
96,1,2,3,37,1,15,15,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
97,1,1,1,1,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
